time,temperature_air,temperature_liquid
2019-03-16 22:10:36.321228,64.4,64.2866
2019-03-16 22:15:38.242596,64.4,64.175
2019-03-16 22:20:40.161255,64.4,64.0616
2019-03-16 22:25:42.161783,64.2866,63.95
2019-03-16 22:30:44.082049,64.2866,63.95
2019-03-16 22:35:46.002103,64.175,63.8366
2019-03-16 22:40:47.841777,64.0616,63.725
2019-03-16 22:45:49.761849,64.0616,63.725
2019-03-16 22:50:51.601338,63.95,63.6116
2019-03-16 22:55:53.522092,63.8366,63.5
2019-03-16 23:00:55.441166,63.8366,63.5
2019-03-16 23:05:57.361148,63.8366,63.3866
2019-03-16 23:10:59.281391,63.725,63.3866
2019-03-16 23:16:01.121816,63.725,63.275
2019-03-16 23:21:03.041213,63.6116,63.275
2019-03-16 23:26:04.961129,63.5,63.1616
2019-03-16 23:31:06.881187,63.3866,63.05
2019-03-16 23:36:08.801341,63.3866,63.05
2019-03-16 23:41:10.641260,63.3866,62.9366
2019-03-16 23:46:12.561250,63.275,62.825
2019-03-16 23:51:14.481324,63.1616,62.825
2019-03-16 23:56:16.409466,63.1616,62.7116
2019-03-17 00:01:18.329298,63.05,62.7116
2019-03-17 00:06:20.162368,63.05,62.6
2019-03-17 00:11:22.002361,62.9366,62.4866
2019-03-17 00:16:23.922331,62.825,62.375
2019-03-17 00:21:25.842405,62.7116,62.2616
2019-03-17 00:26:27.762438,62.6,62.2616
2019-03-17 00:31:29.602396,62.6,62.15
2019-03-17 00:36:31.522394,62.4866,62.0366
2019-03-17 00:41:33.362448,62.375,61.925
2019-03-17 00:46:35.202347,62.375,61.925
2019-03-17 00:51:37.042379,62.2616,61.8116
2019-03-17 00:56:38.962376,62.2616,61.8116
2019-03-17 01:01:40.802412,62.15,61.7
2019-03-17 01:06:42.642396,62.15,61.7
2019-03-17 01:11:44.562304,62.0366,61.5866
2019-03-17 01:16:46.482504,62.0366,61.5866
2019-03-17 01:21:48.401165,62.0366,61.5866
2019-03-17 01:26:50.322639,61.925,61.475
2019-03-17 01:31:52.163765,61.925,61.475
2019-03-17 01:36:54.001406,61.8116,61.3616
2019-03-17 01:41:55.921388,61.8116,61.3616
2019-03-17 01:46:57.841190,61.7,61.3616
2019-03-17 01:51:59.763104,61.7,61.25
2019-03-17 01:57:01.682444,61.7,61.25
2019-03-17 02:02:03.521727,61.5866,61.1366
2019-03-17 02:07:05.361717,61.475,61.1366
2019-03-17 02:12:07.207358,61.475,61.025
2019-03-17 02:17:09.121099,61.475,61.025
2019-03-17 02:22:10.961142,61.475,61.025
2019-03-17 02:27:12.882010,61.3616,60.9116
2019-03-17 02:32:14.801669,61.3616,60.9116
2019-03-17 02:37:16.641451,61.25,60.9116
2019-03-17 02:42:18.562803,61.25,60.8
2019-03-17 02:47:20.401229,61.25,60.8
2019-03-17 02:52:22.241238,61.1366,60.8
2019-03-17 02:57:24.082172,61.1366,60.6866
2019-03-17 03:02:26.001715,61.1366,60.6866
2019-03-17 03:07:27.922787,61.025,60.6866
2019-03-17 03:12:29.841301,61.025,60.575
2019-03-17 03:17:31.762361,60.9116,60.575
2019-03-17 03:22:33.602927,60.9116,60.575
2019-03-17 03:27:35.521809,60.9116,60.4616
2019-03-17 03:32:37.441085,60.8,60.4616
2019-03-17 03:37:39.361258,60.8,60.35
2019-03-17 03:42:41.201124,60.8,60.35
2019-03-17 03:47:43.042079,60.6866,60.35
2019-03-17 03:52:44.881190,60.6866,60.2366
2019-03-17 03:57:46.801838,60.575,60.2366
2019-03-17 04:02:48.721689,60.575,60.2366
2019-03-17 04:07:50.641670,60.575,60.125
2019-03-17 04:12:52.561883,60.4616,60.125
2019-03-17 04:17:54.481734,60.4616,60.125
2019-03-17 04:22:56.401262,60.4616,60.0116
2019-03-17 04:27:58.321240,60.35,60.0116
2019-03-17 04:33:00.241971,60.35,60.0116
2019-03-17 04:38:02.081200,60.2366,59.9
2019-03-17 04:43:04.001200,60.2366,59.9
2019-03-17 04:48:05.921639,60.2366,59.9
2019-03-17 04:53:07.841742,60.2366,59.7866
2019-03-17 04:58:09.761612,60.125,59.7866
2019-03-17 05:03:11.681576,60.125,59.7866
2019-03-17 05:08:13.521708,60.125,59.675
2019-03-17 05:13:15.361538,60.0116,59.675
2019-03-17 05:18:17.281298,60.0116,59.675
2019-03-17 05:23:19.121868,59.9,59.5616
2019-03-17 05:28:21.042254,59.9,59.5616
2019-03-17 05:33:22.882121,59.9,59.5616
2019-03-17 05:38:24.801645,59.9,59.45
2019-03-17 05:43:26.641638,59.7866,59.45
2019-03-17 05:48:28.561612,59.7866,59.45
2019-03-17 05:53:30.482496,59.7866,59.3366
2019-03-17 05:58:32.321296,59.675,59.3366
2019-03-17 06:03:34.241807,59.675,59.3366
2019-03-17 06:08:36.162801,59.675,59.225
2019-03-17 06:13:38.082815,59.5616,59.225
2019-03-17 06:18:40.001814,59.5616,59.225
2019-03-17 06:23:41.921296,59.5616,59.225
2019-03-17 06:28:43.762407,59.45,59.1116
2019-03-17 06:33:45.682042,59.45,59.1116
2019-03-17 06:38:47.521648,59.45,59.1116
2019-03-17 06:43:49.362249,59.3366,59.0
2019-03-17 06:48:51.281641,59.3366,59.0
2019-03-17 06:53:53.201578,59.3366,59.0
2019-03-17 06:58:55.121985,59.225,58.8866
2019-03-17 07:03:57.041818,59.225,58.8866
2019-03-17 07:08:58.961735,59.225,58.8866
2019-03-17 07:14:00.801721,59.1116,58.775
2019-03-17 07:19:02.722485,59.1116,58.775
2019-03-17 07:24:04.641130,59.1116,58.775
2019-03-17 07:29:06.481191,59.1116,58.775
2019-03-17 07:34:08.402879,59.1116,58.775
2019-03-17 07:39:10.322805,59.0,58.6616
2019-03-17 07:44:12.242609,59.0,58.6616
2019-03-17 07:49:14.161723,59.0,58.6616
2019-03-17 07:54:16.001199,59.0,58.6616
2019-03-17 07:59:17.881694,59.0,58.6616
2019-03-17 08:04:19.681493,59.0,58.6616
2019-03-17 08:09:21.601116,59.0,58.775
2019-03-17 08:14:23.441649,59.1116,58.775
2019-03-17 08:19:25.361489,59.1116,58.8866
2019-03-17 08:24:27.281241,59.225,58.8866
2019-03-17 08:29:29.201481,59.3366,59.0
2019-03-17 08:34:31.121288,59.45,59.1116
2019-03-17 08:39:33.041160,59.5616,59.225
2019-03-17 08:44:34.961282,59.675,59.3366
2019-03-17 08:49:36.881254,59.9,59.5616
2019-03-17 08:54:38.808995,60.125,59.675
2019-03-17 08:59:40.721219,60.2366,59.9
2019-03-17 09:04:42.641201,60.575,60.125
2019-03-17 09:09:44.561390,60.6866,60.35
2019-03-17 09:14:46.481353,61.025,60.575
2019-03-17 09:19:48.401873,61.25,60.8
2019-03-17 09:24:50.321199,61.5866,61.1366
2019-03-17 09:29:52.241193,61.8116,61.3616
2019-03-17 09:34:54.161394,62.15,61.7
2019-03-17 09:39:56.001391,62.4866,62.0366
2019-03-17 09:44:57.841276,63.1616,62.375
2019-03-17 09:49:59.761286,63.725,62.9366
2019-03-17 09:55:01.681196,63.8366,63.275
2019-03-17 10:00:03.601355,64.175,63.6116
2019-03-17 10:05:05.523487,64.5116,63.95
2019-03-17 10:10:07.362025,64.85,64.4
2019-03-17 10:15:09.201695,65.1866,64.7366
2019-03-17 10:20:11.042486,65.6366,65.075
2019-03-17 10:25:12.882530,65.975,65.525
2019-03-17 10:30:14.802500,66.425,65.975
2019-03-17 10:35:16.722564,66.875,66.3116
2019-03-17 10:40:18.641946,67.325,66.875
2019-03-17 10:45:20.561123,67.775,67.2116
2019-03-17 10:50:22.481209,68.225,67.775
2019-03-17 10:55:24.322461,68.675,68.225
2019-03-17 11:00:26.242319,69.125,68.675
2019-03-17 11:05:28.082383,69.6866,69.2366
2019-03-17 11:10:30.002091,70.25,69.6866
2019-03-17 11:15:31.843032,70.7,70.25
2019-03-17 11:20:33.761689,71.15,70.7
2019-03-17 11:25:35.681249,71.6,71.2616
2019-03-17 11:30:37.601249,72.05,71.7116
2019-03-17 11:35:39.441659,72.5,72.1616
2019-03-17 11:40:41.361221,72.8366,72.5
2019-03-17 11:45:43.281785,73.2866,72.95
2019-03-17 11:50:45.201781,73.625,73.4
2019-03-17 11:55:47.042304,73.9616,73.7366
2019-03-17 12:00:48.961623,74.3,74.075
2019-03-17 12:05:50.801418,74.6366,74.4116
2019-03-17 12:10:52.644544,74.8616,74.8616
2019-03-17 12:15:54.561889,75.2,75.2
2019-03-17 12:20:56.401938,75.5366,75.5366
2019-03-17 12:25:58.242889,75.875,75.7616
2019-03-17 12:31:00.082335,76.1,76.1
2019-03-17 12:36:02.002025,76.4366,76.4366
2019-03-17 12:41:03.922101,76.6616,76.6616
2019-03-17 12:46:05.841570,77.0,77.0
2019-03-17 12:51:07.761358,77.225,77.225
2019-03-17 12:56:09.681273,77.45,77.45
2019-03-17 13:01:11.602101,77.5616,77.675
2019-03-17 13:06:13.441589,77.7866,77.9
2019-03-17 13:11:15.281338,77.9,78.0116
2019-03-17 13:16:17.201349,78.0116,78.2366
2019-03-17 13:21:19.041361,78.125,78.35
2019-03-17 13:26:20.961238,78.35,78.4616
2019-03-17 13:31:22.803136,78.4616,78.575
2019-03-17 13:36:24.721273,78.4616,78.6866
2019-03-17 13:41:26.641336,78.575,78.8
2019-03-17 13:46:28.481219,78.575,78.9116
2019-03-17 13:51:30.401415,78.6866,78.9116
2019-03-17 13:56:32.321227,78.8,79.025
2019-03-17 14:01:34.241242,78.6866,79.025
2019-03-17 14:06:36.161225,78.8,79.1366
2019-03-17 14:11:38.081790,78.9116,79.1366
2019-03-17 14:16:40.002192,78.9116,79.1366
2019-03-17 14:21:41.841751,78.8,79.1366
2019-03-17 14:26:43.762998,78.9116,79.1366
2019-03-17 14:31:45.602549,78.8,79.1366
2019-03-17 14:36:47.523476,78.8,79.1366
2019-03-17 14:41:49.441245,78.8,79.1366
2019-03-17 14:46:
