time,temperature_air,temperature_liquid
2019-03-18 21:35:13.070883,63.95,66.0866
2019-03-18 21:35:19.825438,64.0616,66.0866
2019-03-18 21:35:26.626052,63.95,66.0866
2019-03-18 21:35:33.424755,63.95,66.2
2019-03-18 21:35:40.225450,63.95,66.2
2019-03-18 21:35:47.905402,63.95,66.3116
2019-03-18 21:35:54.704558,63.95,66.3116
2019-03-18 21:36:01.505438,63.95,66.425
2019-03-18 21:36:08.304467,64.0616,66.425
2019-03-18 21:36:15.103164,64.0616,66.5366
2019-03-18 21:36:21.904579,63.95,66.65
2019-03-18 21:36:28.704092,63.8366,66.65
2019-03-18 21:36:35.504092,63.95,66.7616
2019-03-18 21:36:42.304108,63.95,66.7616
2019-03-18 21:36:49.100537,63.95,66.875
2019-03-18 21:36:55.905769,63.8366,66.9866
2019-03-18 21:37:02.704551,63.725,66.9866
2019-03-18 21:37:09.504081,63.725,67.1
2019-03-18 21:37:16.304548,63.725,67.1
2019-03-18 21:37:23.115846,63.6116,67.1
2019-03-18 21:37:29.904581,63.6116,67.1
2019-03-18 21:37:36.713057,63.725,67.1
2019-03-18 21:37:43.504583,63.6116,67.1
2019-03-18 21:37:50.305401,63.725,67.1
2019-03-18 21:37:57.104514,63.725,67.1
2019-03-18 21:38:03.905547,63.725,67.1
2019-03-18 21:38:10.704491,63.6116,67.1
2019-03-18 21:38:17.505555,63.6116,67.1
