time,temperature_air,tempearture_liquid
2019-03-11 08:09:11.375261,53.9366,53.6
2019-03-11 08:14:13.214356,53.9366,53.7116
2019-03-11 08:19:15.054351,54.05,53.7116
2019-03-11 08:24:16.814319,54.05,53.7116
2019-03-11 08:29:18.654446,54.05,53.7116
2019-03-11 08:34:20.574993,54.1616,53.825
2019-03-11 08:39:22.334946,54.3866,54.05
2019-03-11 08:44:24.174339,54.3866,54.1616
2019-03-11 08:49:26.014357,54.3866,54.1616
2019-03-11 08:54:27.934342,54.3866,54.1616
2019-03-11 08:59:29.854318,54.3866,54.1616
2019-03-11 09:04:31.694273,54.5,54.275
2019-03-11 09:09:33.534244,54.6116,54.275
2019-03-11 09:14:35.374364,54.6116,54.3866
2019-03-11 09:19:37.294555,54.725,54.5
2019-03-11 09:24:39.214323,54.725,54.5
2019-03-11 09:29:41.134955,54.8366,54.6116
2019-03-11 09:34:42.974851,54.8366,54.725
2019-03-11 09:39:44.814898,54.95,54.8366
2019-03-11 09:44:46.654901,55.0616,54.95
2019-03-11 09:49:48.414400,55.175,55.0616
2019-03-11 09:54:50.254964,55.2866,55.175
2019-03-11 09:59:52.094284,55.4,55.4
2019-03-11 10:04:53.934322,55.5116,55.5116
2019-03-11 10:09:55.775877,55.7366,55.7366
2019-03-11 10:14:57.614696,55.85,55.9616
2019-03-11 10:19:59.534915,55.9616,56.075
2019-03-11 10:25:01.374339,56.1866,56.3
2019-03-11 10:30:03.214254,56.3,56.4116
2019-03-11 10:35:05.134473,56.4116,56.6366
2019-03-11 10:40:06.974450,56.525,56.75
2019-03-11 10:45:08.814491,56.75,56.8616
2019-03-11 10:50:10.654428,56.8616,57.0866
2019-03-11 10:55:12.494426,56.975,57.2
2019-03-11 11:00:14.414406,57.0866,57.3116
2019-03-11 11:05:16.254898,57.3116,57.425
2019-03-11 11:10:18.174719,57.425,57.65
2019-03-11 11:15:20.094311,57.5366,57.7616
2019-03-11 11:20:21.934321,57.65,57.875
2019-03-11 11:25:23.774796,57.7616,57.9866
2019-03-11 11:30:25.694893,57.875,58.1
2019-03-11 11:35:27.614895,57.9866,58.2116
2019-03-11 11:40:29.454455,58.1,58.325
2019-03-11 11:45:31.215512,58.2116,58.325
2019-03-11 11:50:33.055204,58.2116,58.4366
2019-03-11 11:55:34.974234,58.325,58.55
2019-03-11 12:00:36.814336,58.4366,58.6616
2019-03-11 12:05:38.654636,58.55,58.775
2019-03-11 12:10:40.495281,58.6616,58.8866
2019-03-11 12:15:42.254879,58.775,59.0
2019-03-11 12:20:44.174927,58.8866,59.1116
2019-03-11 12:25:46.014392,59.0,59.3366
2019-03-11 12:30:47.774679,59.1116,59.45
2019-03-11 12:35:49.614337,59.225,59.675
2019-03-11 12:40:51.455240,59.45,59.7866
2019-03-11 12:45:53.295059,59.5616,59.9
2019-03-11 12:50:55.216710,59.675,60.0116
2019-03-11 12:55:57.134234,59.7866,60.125
2019-03-11 13:00:58.974375,59.7866,60.2366
2019-03-11 13:06:00.894359,60.0116,60.35
2019-03-11 13:11:02.814506,60.0116,60.35
2019-03-11 13:16:04.654892,60.125,60.4616
2019-03-11 13:21:06.574909,60.125,60.4616
2019-03-11 13:26:08.494838,60.2366,60.4616
2019-03-11 13:31:10.336100,60.2366,60.4616
2019-03-11 13:36:12.174805,60.35,60.575
2019-03-11 13:41:14.014294,60.35,60.575
2019-03-11 13:46:15.854841,60.35,60.575
2019-03-11 13:51:17.694184,60.35,60.575
2019-03-11 13:56:19.534440,60.4616,60.575
2019-03-11 14:01:21.374704,60.4616,60.575
2019-03-11 14:06:23.134288,60.35,60.575
2019-03-11 14:11:24.984290,60.4616,60.4616
2019-03-11 14:16:26.814818,60.4616,60.4616
2019-03-11 14:21:28.654338,60.4616,60.4616
2019-03-11 14:26:30.494714,60.4616,60.575
2019-03-11 14:31:32.334269,60.575,60.575
2019-03-11 14:36:34.174390,60.575,60.6866
2019-03-11 14:41:36.014815,60.575,60.6866
2019-03-11 14:46:37.854159,60.6866,60.8
2019-03-11 14:51:39.615505,60.8,60.9116
2019-03-11 14:56:41.454280,60.9116,61.025
2019-03-11 15:01:43.294357,61.025,61.1366
2019-03-11 15:06:45.134200,61.1366,61.3616
2019-03-11 15:11:46.974293,61.3616,61.5866
2019-03-11 15:16:48.814224,61.475,61.7
2019-03-1
