time,temperature_air,temperature_liquid
2019-03-31 10:32:04.024573,73.85,66.875
2019-03-31 10:32:06.824978,73.85,66.875
2019-03-31 10:32:09.624630,73.85,66.875
2019-03-31 10:32:12.424579,73.85,66.875
2019-03-31 10:32:15.224634,73.85,66.875
2019-03-31 10:32:18.024586,73.9616,66.875
2019-03-31 10:32:20.824919,73.85,66.875
2019-03-31 10:32:23.624745,73.9616,66.875
2019-03-31 10:32:26.424802,73.9616,66.875
2019-03-31 10:32:29.225296,73.9616,66.875
2019-03-31 10:32:32.024790,77.1116,66.875
2019-03-31 10:32:34.825429,79.25,66.875
2019-03-31 10:32:37.624748,80.9366,66.875
2019-03-31 10:32:40.424723,80.4866,66.875
2019-03-31 10:32:43.225614,79.8116,66.875
2019-03-31 10:32:46.024661,79.25,66.875
2019-03-31 10:32:48.824680,78.9116,66.9866
2019-03-31 10:32:51.624686,78.575,75.3116
2019-03-31 10:32:54.424622,78.35,97.5866
2019-03-31 10:32:57.224650,78.125,130.1
2019-03-31 10:33:00.024830,77.9,144.5
2019-03-31 10:33:02.825347,77.7866,144.6116
2019-03-31 10:33:05.624590,77.675,143.2616
