time,temperature_air,temperature_liquid
2019-03-31 10:33:43.770295,77.1116,118.2866
2019-03-31 10:33:46.547038,77.1116,116.825
2019-03-31 10:33:49.346845,77.1116,115.5866
2019-03-31 10:33:52.147168,77.1116,114.2366
2019-03-31 10:33:54.950485,77.1116,113.0
2019-03-31 10:33:57.746868,77.1116,111.875
2019-03-31 10:34:00.552054,77.1116,110.75
2019-03-31 10:34:03.346982,77.1116,109.625
2019-03-31 10:34:06.146845,77.1116,108.6116
2019-03-31 10:34:08.946872,77.1116,107.6
2019-03-31 10:34:11.750209,77.1116,106.5866
2019-03-31 10:34:14.547195,77.1116,105.6866
2019-03-31 10:34:17.347010,77.1116,104.7866
2019-03-31 10:34:20.146871,77.1116,103.8866
2019-03-31 10:34:22.955278,77.1116,103.1
2019-03-31 10:34:25.747500,77.1116,102.3116
2019-03-31 10:34:28.556916,77.1116,101.525
2019-03-31 10:34:31.347266,77.1116,100.7366
2019-03-31 10:34:34.149503,77.1116,99.95
2019-03-31 10:34:36.947494,77.1116,99.275
2019-03-31 10:34:39.751618,77.1116,98.6
2019-03-31 10:34:42.547129,77.1116,97.925
2019-03-31 10:34:45.347299,77.0,97.25
2019-03-31 10:34:48.147151,77.0,96.4616
2019-03-31 10:34:51.826959,77.0,95.675
2019-03-31 10:34:55.507179,77.0,95.1116
2019-03-31 10:34:58.307442,77.0,94.55
2019-03-31 10:35:01.107022,77.0,93.9866
2019-03-31 10:35:03.910872,77.0,93.425
2019-03-31 10:35:06.706875,77.0,92.975
2019-03-31 10:35:09.510182,77.0,92.525
2019-03-31 10:35:12.308678,77.0,91.9616
2019-03-31 10:35:15.111514,77.0,91.5116
2019-03-31 10:35:17.907385,77.0,91.0616
