time,temperature_air,temperature_liquid
2019-03-31 10:41:35.979356,75.65,69.9116
2019-03-31 10:41:38.787288,75.65,69.9116
2019-03-31 10:41:41.587084,75.65,69.9116
2019-03-31 10:41:44.388290,75.65,69.9116
2019-03-31 10:41:47.189165,75.65,69.9116
2019-03-31 10:41:49.986959,75.65,69.8
2019-03-31 10:41:52.790030,75.65,69.8
2019-03-31 10:41:55.587017,75.65,69.8
2019-03-31 10:41:58.386950,75.65,69.8
2019-03-31 10:42:01.186954,75.65,69.9116
2019-03-31 10:42:04.069921,75.65,70.025
2019-03-31 10:42:06.867307,75.65,70.25
2019-03-31 10:42:09.674195,75.65,70.475
2019-03-31 10:42:12.546956,75.65,70.7
2019-03-31 10:42:15.346909,75.65,70.925
2019-03-31 10:42:18.146940,75.65,71.15
2019-03-31 10:42:20.952483,75.5366,71.15
2019-03-31 10:42:23.747020,75.5366,73.9616
2019-03-31 10:42:26.549266,75.5366,84.425
2019-03-31 10:42:29.347292,75.5366,90.6116
2019-03-31 10:42:32.150209,75.5366,93.0866
2019-03-31 10:42:34.946944,75.5366,93.9866
2019-03-31 10:42:37.751532,75.5366,93.3116
2019-03-31 10:42:40.547544,75.5366,92.8616
2019-03-31 10:42:43.347465,75.5366,92.4116
2019-03-31 10:42:46.147589,75.5366,91.85
2019-03-31 10:42:49.827486,75.5366,91.5116
2019-03-31 10:42:52.627337,75.5366,91.175
2019-03-31 10:42:55.427609,75.5366,90.8366
2019-03-31 10:42:58.227144,75.5366,90.5
2019-03-31 10:43:01.030142,75.5366,90.1616
2019-03-31 10:43:03.827134,75.5366,89.825
2019-03-31 10:43:06.630361,75.5366,89.4866
2019-03-31 10:43:09.427346,75.5366,89.15
2019-03-31 10:43:12.227393,75.5366,88.7
2019-03-31 10:43:15.027170,75.5366,88.3616
2019-03-31 10:43:17.829567,75.425,88.025
2019-03-31 10:43:20.626939,75.425,87.6866
2019-03-31 10:43:23.427010,75.425,87.35
2019-03-31 10:43:26.227171,75.425,87.0116
2019-03-31 10:43:29.032811,75.425,86.7866
2019-03-31 10:43:31.827184,75.425,86.45
2019-03-31 10:43:34.631488,75.425,86.1116
2019-03-31 10:43:37.427165,75.425,85.775
2019-03-31 10:43:40.227500,75.425,85.4366
2019-03-31 10:43:43.027511,75.425,85.2116
2019-03-31 10:43:45.832032,75.425,84.875
2019-03-31 10:43:48.627176,75.425,84.5366
2019-03-31 10:43:51.428979,75.425,84.3116
2019-03-31 10:43:54.227188,75.425,84.0866
2019-03-31 10:43:57.027455,75.425,83.75
2019-03-31 10:43:59.827176,75.425,83.4116
2019-03-31 10:44:02.627448,75.425,83.1866
2019-03-31 10:44:05.427248,75.425,82.85
2019-03-31 10:44:08.232056,75.425,82.625
2019-03-31 10:44:11.027204,75.425,82.4
2019-03-31 10:44:13.832380,75.425,81.8366
2019-03-31 10:44:17.507667,75.425,81.8366
2019-03-31 10:44:20.307463,75.425,80.825
2019-03-31 10:44:23.108456,75.425,80.375
2019-03-31 10:44:25.911040,75.3116,79.925
2019-03-31 10:44:28.708077,75.3116,79.3616
2019-03-31 10:44:32.387930,75.3116,78.9116
2019-03-31 10:44:35.187944,75.425,78.35
2019-03-31 10:44:38.868321,75.425,77.9
2019-03-31 10:44:41.666907,75.3116,77.5616
2019-03-31 10:44:44.470971,75.3116,77.225
2019-03-31 10:44:47.266851,75.3116,76.8866
2019-03-31 10:44:50.066927,75.3116,76.55
2019-03-31 10:44:52.866848,75.3116,76.325
2019-03-31 10:44:55.670052,75.3116,75.9866
2019-03-31 10:44:58.467135,75.3116,75.7616
2019-03-31 10:45:01.271469,75.3116,75.425
2019-03-31 10:45:04.067108,75.3116,75.3116
2019-03-31 10:45:06.869570,75.3116,75.0866
2019-03-31 10:45:09.667154,75.3116,74.8616
2019-03-31 10:45:12.471490,75.3116,74.6366
2019-03-31 10:45:15.267080,75.3116,74.4116
2019-03-31 10:45:18.067142,75.3116,74.3
2019-03-31 10:45:20.866856,75.3116,74.075
2019-03-31 10:45:23.674411,75.3116,73.9616
2019-03-31 10:45:26.467063,75.3116,73.7366
2019-03-31 10:45:29.266924,75.3116,73.625
2019-03-31 10:45:32.066814,75.3116,73.4
2019-03-31 10:45:34.872991,75.3116,73.2866
2019-03-31 10:45:37.666833,75.3116,73.175
2019-03-31 10:45:40.472317,75.3116,73.0616
2019-03-31 10:45:43.266803,75.3116,72.95
2019-03-31 10:45:46.070091,75.3116,72.8366
2019-03-31 10:45:48.866786,75.3116,72.8366
2019-03-31 10:45:51.669292,75.3116,72.725
2019-03-31 10:45:54.466928,75.3116,72.725
2019-03-31 10:45:57.266968,75.3116,74.075
2019-03-31 10:46:00.066976,75.3116,76.2116
2019-03-31 10:46:02.869117,75.3116,77.0
2019-03-31 10:46:05.666947,75.3116,77.1116
